S.No.,Bidding Authority,REIA,Tender Capacity,Category,Type,Connectivity,RFS No.,RFS Date,RFS Financial Year,eRA,Financial Year,Company,Group Company,Won Capacity,Final Tariff,Initial Tariff,Status (e-RA/LOA/PPA/COD),Signed PPA Cap. (MW),Remarks,Bid Capacity,Bidding Result,Any Success
1233,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,Patel Infrastrucutre Ltd.,Patel Infrastrucutre Ltd.,100,3.43,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1234,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,Alfanar Power,Alfanar Power,50,3.43,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1235,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,KP Energy,KP Energy,50,3.44,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1236,GUVNL,State,250,Wind,Wind,STU,GUVNL-Wind-250 MW + 250 MW Greenshoe-Ph.10,26-Sep-25,FY 2026,30-Dec-25,FY 2026,Powerica,Powerica,50,3.44,,e-RA,,Only base capacity allotted ,,Partial Capacity Won,Yes
1216,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,SBR Electro Projects,SBR Electro Projects,25,1.48,,e-RA,,220/132/33 kV SS Gajuwaka ,25,Full Capacity Won,Yes
1217,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Ecoren Energy,Ecoren Energy,275,1.5,,e-RA,,400/220 kV SS Talaricheruvu,275,Full Capacity Won,Yes
1218,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Bhagwati Group,Bhagwati Group,75,1.5,,e-RA,,400/220 kV SS Maradam,75,Full Capacity Won,Yes
1219,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Legion Energy Products,Legion Energy Products,25,1.5,,e-RA,,132/33 kV SS Simhachalam,25,Full Capacity Won,Yes
1220,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Bondada Engineering,Bondada Engineering,225,1.64,,e-RA,,400/220 kV SS Hindupur,225,Full Capacity Won,Yes
1221,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,PGCIL,PGCIL,150,1.64,,e-RA,,400/220 kV SS Kalikiri,150,Full Capacity Won,Yes
1222,APTransco,State,1000,ESS/BESS,BESS,STU,APTRANSCO-1 GW-2GWh-BESS+VGF-18LMWh,25-Aug-25,FY 2026,29-Nov-25,FY 2026,Ecoren Energy,Ecoren Energy,225,1.65,,e-RA,,400/220 kV SS Pampanuruthanda,225,Full Capacity Won,Yes
1210,RUVNL,State,500,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Patanjali Ayurved Ltd.,Patanjali,250,2.85,2.85,e-RA,,,250,Full Capacity Won,Yes
1211,RUVNL,State,501,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Ultravibrant Solar Energy Pvt. Ltd. ,Ultravibrant,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1212,RUVNL,State,502,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Rama Reflection India Pvt. Ltd,Rama,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1213,RUVNL,State,503,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Mec Power Solutions Ltd. ,Mecpower,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1214,RUVNL,State,504,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Bhagwati Lacto Vegetarian Exports Pvt. Ltd.,Bhagwati Lacto Vegetarian Exports Pvt. Ltd.,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1215,RUVNL,State,505,ESS/BESS,BESS,STU,RUVNL - BESS - 500 MW / 2000 MWh,8-Aug-25,FY 2026,24-Nov-25,FY 2026,Diwakar Renewables & Infra Pvt. Ltd.,Diwakar Renewables & Infra Pvt. Ltd.,50,2.85,2.85,e-RA,,,50,Full Capacity Won,Yes
1201,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Ayana,Ayana,140,4.35,5.24,e-RA,,,140,Full Capacity Won,Yes
1202,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Jindal Green,Jindal Green,150,4.35,5.04,e-RA,,,150,Full Capacity Won,Yes
1203,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Bhalki Solar (Rays Power),Bhalki Solar (Rays Power),200,4.35,5.1,e-RA,,,200,Full Capacity Won,Yes
1204,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Purwa Green (RPG),Purwa Green (RPG),180,4.35,5.47,e-RA,,,180,Full Capacity Won,Yes
1205,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,ReNew,ReNew,200,4.35,5.05,e-RA,,,200,Full Capacity Won,Yes
1206,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,ACME,ACME,130,4.35,5.09,e-RA,,,1000,Partial Capacity Won,Yes
1207,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,SolarCraft (Bluepine),SolarCraft (Bluepine),0,4.36,5.25,e-RA,,,100,Unsuccessful,No
1208,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Jindal India,Jindal India,0,4.54,5.25,e-RA,,,150,Unsuccessful,No
1209,REMCL,Central,1000,RTC/FDRE,RTC,ISTS,REMCL 1 GW RTC ,24-Jul-25,FY 2026,21-Nov-25,FY 2026,Reliance Industries,Reliance (Mukesh),0,4.59,4.65,e-RA,,,250,Unsuccessful,No
1182,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Sun Drops Energia Pvt. Ltd.,Sundrops,445,1.85,1.85,e-RA,,,445,Full Capacity Won,Yes
1183,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Engie Energy India Pvt. Ltd.,Engie,280,1.87,1.87,e-RA,,,280,Full Capacity Won,Yes
1184,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Mecpower Solutions Ltd. ,Mecpower,65,1.88,1.88,e-RA,,,65,Full Capacity Won,Yes
1185,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Samavist Energy Solutions Pvt. Ltd.,Samavist,100,1.88,1.88,e-RA,,,100,Full Capacity Won,Yes
1186,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Stockwell Solar Services Pvt. Ltd.,Stockwell,130,1.89,1.89,e-RA,,,130,Full Capacity Won,Yes
1187,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Solar91 Cleantech Ltd.,Solar91,65,1.89,1.89,e-RA,,,65,Full Capacity Won,Yes
1188,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Viviana Power Tech Ltd.,Viviana Power,65,1.89,1.89,e-RA,,,65,Full Capacity Won,Yes
1189,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Rajesh Power Services Limited,Rajesh Power,65,1.89,1.89,e-RA,,,65,Full Capacity Won,Yes
1190,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Ultimate Flexipack Limited,Ultimate Flexipak,450,1.89,1.89,e-RA,,,450,Full Capacity Won,Yes
1191,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Patel Infrastrucutre Ltd.,Patel Infra,1090,1.89,1.89,e-RA,,,1090,Full Capacity Won,Yes
1192,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Kundan Green Energy Pvt. Ltd.,Kundan Green Energy,380,2.1,2.1,e-RA,,,380,Full Capacity Won,Yes
1193,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Salasar Techno Engineering Pvt. Ltd,Salasar Techno,190,2.12,2.12,e-RA,,,190,Full Capacity Won,Yes
1194,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Meghmani Renew Energy Pvt. Ltd,Meghmani Renew,285,2.2,2.2,e-RA,,,285,Full Capacity Won,Yes
1195,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,NLC India Pvt. Ltd.,NLC,1000,2.3,2.3,e-RA,,,1000,Full Capacity Won,Yes
1196,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Equentia Natural Resources Pvt. Ltd,Equentia,255,2.5,2.5,e-RA,,,255,Full Capacity Won,Yes
1197,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,ACME Solar Holdings Ltd.,ACME,640,2.7,2.7,e-RA,,,640,Full Capacity Won,Yes
1198,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Apraava Energy Pvt. Ltd.,Apraava,450,2.76,2.76,e-RA,,,450,Full Capacity Won,Yes
1199,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Techno-Electric & Engineering Co. Ltd.,Techno-Electric,450,2.92,2.92,e-RA,,,450,Full Capacity Won,Yes
1200,GUVNL,State,2000,ESS/BESS,BESS,STU,GUVNL-2 GW/4 GWh-BESS-Ph.07,23-Jul-25,FY 2026,18-Nov-25,FY 2026,Enerica Infra 2 Pvt. Ltd,Enerica,640,3.15,3.15,e-RA,,,640,Full Capacity Won,Yes
1157,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Welspun,Welspun,200,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1158,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,MB Power (Madhya Pradesh) Ltd. ,MB Power (Madhya Pradesh) Ltd. ,150,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1159,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Shivalaya Construction,Shivalaya,600,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1160,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Oswal Cables Limited,Oswal Cables Limited,50,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1161,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Purvah Green Power Pvt. Ltd. ,Purvah Green,300,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1162,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Banyan Insolation Private Limited,Banyan Isolation,100,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1163,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,LC Infra Projects Pvt. Ltd.,LC Infra,50,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1164,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Stockwell Solar Services,Stockwell Solar,80,2.86,2.86,e-RA,,,,Partial Capacity Won,Yes
1165,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,SAEL Industries Limited,SAEL Industries,300,2.87,2.87,e-RA,,,,Partial Capacity Won,Yes
1166,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,GH2 Solar Ltd,GH2 Solar ,50,2.87,2.87,e-RA,,,,Partial Capacity Won,Yes
1167,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Navayuga Green Energy Pvt. Ltd.,Navayuga Green,300,2.87,2.87,e-RA,,,,Partial Capacity Won,Yes
1168,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Apraava,Apraava,0,2.87,2.87,e-RA,,,,Full Capacity Won,No
1169,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,SolarCraft (Blupine),Solarcraft,0,2.89,2.89,e-RA,,,,Full Capacity Won,No
1170,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,NTPC Renewables,NTPC,0,3.06,3.06,e-RA,,,,Full Capacity Won,No
1171,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Gentari,Gentari,0,3.12,3.12,e-RA,,,,Full Capacity Won,No
1172,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Waree,Waree,0,3.15,3.15,e-RA,,,,Full Capacity Won,No
1173,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Bhalki Prime Solar Power Pvt. Ltd. ,Bhalki Prime Solar,0,3.23,3.23,e-RA,,,,Full Capacity Won,No
1174,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Pace Digitek Ltd.,Pace Digitek,0,3.25,3.25,e-RA,,,,Full Capacity Won,No
1175,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Sunsure Solarpark RJOne Pvt. Ltd.,Sunsure,0,3.31,3.31,e-RA,,,,Full Capacity Won,No
1176,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,ReNew Solar,ReNew,0,3.51,3.51,e-RA,,,,Full Capacity Won,No
1177,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Acme,Acme,0,3.56,3.56,e-RA,,,,Full Capacity Won,No
1178,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Refex Holding Pvt. Ltd.,Refex Holding Pvt. Ltd.,0,3.59,3.59,e-RA,,,,Full Capacity Won,No
1179,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,PNC Infratech Ltd.,PNC Infratech Ltd.,0,3.9,3.9,e-RA,,,,Full Capacity Won,No
1180,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Adani,Adani,0,3.98,3.98,e-RA,,,,Full Capacity Won,No
1181,SECI,Central,2000,RTC/FDRE,Solar + ESS,CTU,SECI-2000 MW-Solar+ESS-ISTS-20,12-Jun-25,FY 2026,15-Oct-25,FY 2026,Power Mech Projects Ltd.,Power Mech Projects,0,4.04,4.04,e-RA,,,,Full Capacity Won,No
1143,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Sembcorp,Sembcorp,150,6.74,9.11,e-RA,,,150,Full Capacity Won,Yes
1144,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Reliance NU Energies,Reliance (Anil),750,6.74,8.49,e-RA,,,750,Full Capacity Won,Yes
1145,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Bluepine (Solarcraft Power India),Bluepine (Solarcraft Power India),150,6.75,8.69,e-RA,,,150,Full Capacity Won,Yes
1146,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,ACME,ACME,450,6.75,7.98,e-RA,,,600,Partial Capacity Won,Yes
1147,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Navayuga,Navayuga,0,6.75,7.45,e-RA,,,250,Unsuccessful,No
1148,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Greenko,Greenko,0,6.78,8.19,e-RA,,,500,Unsuccessful,No
1149,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Evergreen Renewable (Green Prairie VI),Evergreen Renewable (Green Prairie VI),0,7.05,9.11,e-RA,,,70,Unsuccessful,No
1150,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Rays Power (Mulki Solar),Rays Power (Mulki Solar),0,7.27,8.9,e-RA,,,300,Unsuccessful,No
1151,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Avaada Energy,Avaada Energy,0,7.4,9.13,e-RA,,,750,Unsuccessful,No
1152,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,NTPC,NTPC,0,8.5,8.99,e-RA,,,300,Unsuccessful,No
1153,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Adani,Adani,0,9.23,9.24,e-RA,,,750,Unsuccessful,No
1154,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Goldi Solar,Goldi Solar,0,9.33,9.33,e-RA,,,50,Unsuccessful,No
1155,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Hindustan Power,Hindustan Power,0,9.49,9.49,e-RA,,,50,Unsuccessful,No
1156,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,ReNew,ReNew,0,9.73,9.73,e-RA,,,300,Unsuccessful,No
1223,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,ACME,ACME,450,6.75,7.98,e-RA,,,600,Partial Capacity Won,Yes
1224,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Navayuga,Navayuga,0,6.75,7.45,e-RA,,,250,Unsuccessful,No
1225,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Greenko,Greenko,0,6.78,8.19,e-RA,,,500,Unsuccessful,No
1226,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Evergreen Renewable (Green Prairie VI),Evergreen Renewable (Green Prairie VI),0,7.05,9.11,e-RA,,,70,Unsuccessful,No
1227,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Rays Power (Mulki Solar),Rays Power (Mulki Solar),0,7.27,8.9,e-RA,,,300,Unsuccessful,No
1228,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Avaada Energy,Avaada Energy,0,7.4,9.13,e-RA,,,750,Unsuccessful,No
1229,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,NTPC,NTPC,0,8.5,8.99,e-RA,,,300,Unsuccessful,No
1230,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Adani,Adani,0,9.23,9.24,e-RA,,,750,Unsuccessful,No
1231,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Goldi Solar,Goldi Solar,0,9.33,9.33,e-RA,,,50,Unsuccessful,No
1232,SJVN,Central,1500,RTC/FDRE,FDRE,CTU,SJVN - 1.5 GW/ 6 GWh - FDRE-4 (Assured Peak only),6-Dec-24,FY 2025,9-Oct-25,FY 2026,Hindustan Power,Hindustan Power,0,9.49,9.49,e-RA,,,50,Unsuccessful,No
1132,RVUNL,State,1000,ESS/BESS,BESS,STU,RRUVNL 1000 MW/ 2000 MWh BESS,20-Jun-25,FY 2026,7-Oct-25,FY 2026,Stockwell Solar Services,Stockwell Solar,200,1.775,2.05,e-RA,,,200,Full Capacity Won,Yes
1133,RVUNL,State,1000,ESS/BESS,BESS,STU,RRUVNL 1000 MW/ 2000 MWh BESS,20-Jun-25,FY 2026,7-Oct-25,FY 2026,Oswal Cables Limited,Oswal Cables Limited,100,1.775,2.05,e-RA,,,100,Full Capacity Won,Yes
1134,RVUNL,State,1000,ESS/BESS,BESS,STU,RRUVNL 1000 MW/ 2000 MWh BESS,20-Jun-25,FY 2026,7-Oct-25,FY 2026,Micormax Informatics Ltd,Micormax Informatics Ltd,50,1.775,2.05,e-RA,,,50,Full Capacity Won,Yes
1135,RVUNL,State,1000,ESS/BESS,BESS,STU,RRUVNL 1000 MW/ 2000 MWh BESS,20-Jun-25,FY 2026,7-Oct-25,FY 2026,Patanjali Renewable Energy Pvt. Ltd.,Patanjali Renewable Energy Pvt. Ltd.,100,1.775,2.05,e-RA,,,100,Full Capacity Won,Yes
